SYMBOL,OPEN,HIGH,LOW,CLOSE,PREVCLOSE,RSI
BHARATWIRE,69.75,70.75,66.8,69.25,69.75,51.68539325842698
BHARTIARTL,312.45,324.7,312.45,322.45,313.5,57.58122743682297
BHEL,70.8,71.85,70.05,71.4,70.75,19.266055045871497
BIGBLOC,36.2,36.25,35.0,35.3,35.85,0.0
BIL,230.0,232.95,225.0,227.2,233.0,35.92814371257484
BILENERGY,0.45,0.55,0.45,0.5,0.5,0.0
BINANIIND,71.85,71.85,70.15,70.8,71.35,0.0
BINDALAGRO,17.5,17.55,17.05,17.4,17.35,0.0
BIOCON,613.1,619.85,607.25,618.55,612.0,46.46781789638931
BIOFILCHEM,6.75,7.2,6.75,6.8,7.1,0.0
BIRLACABLE,196.5,198.5,190.95,197.1,195.7,38.8
BIRLACORPN,592.3,592.9,579.85,585.65,588.7,14.159292035398622
BIRLAMONEY,59.0,59.25,56.4,57.0,58.7,54.666666666666686
BKMINDST,7.4,7.55,7.2,7.25,7.55,0.0
BLBLIMITED,5.2,5.5,5.2,5.5,5.2,0.0
BLISSGVS,158.2,164.8,158.2,162.45,159.6,62.47086247086245
BLKASHYAP,20.6,20.6,19.9,20.0,20.7,0.0
BLS,117.4,119.15,116.1,118.45,116.65,51.56250000000002
BLUEBLENDS,4.1,4.35,4.1,4.3,4.2,0.0
BLUEDART,3333.0,3374.85,3301.0,3348.85,3358.85,61.52934202726734
BLUEDART,10.89,10.89,10.89,10.89,10.9,61.52934202726734
BLUESTARCO,628.0,629.9,616.05,621.55,623.8,62.237762237762276
BODALCHEM,115.35,119.9,115.35,117.6,115.3,95.12195121951224
BOHRA,28.5,28.5,28.5,28.5,28.9,0.0
BOMDYEING,110.95,115.0,109.0,111.1,110.15,22.346368715083827
BOROSIL,230.4,233.2,228.85,229.45,232.35,46.889952153110016
BOSCHLTD,19300.0,19493.25,19217.3,19438.75,19299.85,29.628839590443818
BPCL,351.8,361.7,351.5,359.45,352.5,42.30055658627081
BPL,40.25,40.6,39.15,39.5,40.15,0.0
BRFL,10.2,10.2,9.3,9.35,9.75,0.0
BRIGADE,213.85,215.45,210.0,212.8,213.85,21.86379928315418
BRIGHT,33.25,33.25,33.25,33.25,31.65,0.0
BRITANNIA,3137.95,3159.2,3105.55,3122.7,3135.9,66.06905710491353
BRNL,110.0,113.4,104.95,105.85,111.15,0.0
BROOKS,59.95,59.95,57.25,57.75,59.1,0.0
BSE,594.0,600.45,591.9,598.4,593.8,71.08910891089094
BSELINFRA,2.05,2.15,2.05,2.1,2.05,0.0
